rank2Days,country2Days,totalCases2Days,newCases2Days,totalDeaths2Days,newDeaths2Days,totalRecovered2Days,newRecovered2Days,activeCases2Days,seriousCritical2Days,casesPerMillion2Days,deathsPerMillion2Days,totalTests2Days,testsPerMillion2Days,population2Days
51,Jordan,1746997,None,14122,None,1731007,None,1868,59,169597,1371,17201885,1669945,10300869
52,Ireland,1680548,None,8159,None,1668695,283,3694,10,334757,1625,12867913,2563228,5020199
53,Pakistan,1575480,9,30635,None,1538689,None,6156,29,6865,133,30570862,133213,229488994
54,Norway,1471132,294,4498,None,1463921,78,2713,20,266927,816,11002430,1996315,5511370
55,Finland,1417909,None,7572,None,1380605,1893,29732,21,255251,1363,11859095,2134866,5554960
56,Kazakhstan,1398810,148,13694,None,1383020,None,2096,24,72836,713,11575012,602707,19205043
57,Bulgaria,1289255,343,38067,5,1246685,345,4503,33,188361,5562,10855081,1585934,6844597
58,Lithuania,1280625,51,9442,None,1264162,495,7021,10,481129,3547,10277516,3861248,2661708
59,Slovenia,1276259,663,6955,3,1247923,411,21381,17,614167,3347,2792609,1343871,2078034
60,Morocco,1270179,18,16288,None,1253065,82,826,293,33627,431,12792082,338659,37772756
61,Croatia,1257099,38,17415,15,1237459,876,2225,13,309685,4290,5385017,1326592,4059286
62,Lebanon,1221182,38,10741,None,1087587,None,122854,74,182679,1607,4795578,717380,6684849
63,Guatemala,1172149,637,19964,1,1137329,360,14856,5,63073,1074,6406351,344723,18584039
64,Costa Rica,1152466,None,9051,None,860711,None,282704,52,222383,1747,4659757,899158,5182354
65,Tunisia,1147145,None,29269,None,None,None,None,44,95225,2430,4977368,413174,12046656
66,Bolivia,1118919,531,22253,None,1079680,204,16986,220,93300,1856,2705422,225590,11992656
67,Cuba,1111564,15,8530,None,1102891,17,143,None,98319,754,14233813,1259000,11305652
68,UAE,1045616,101,2348,None,1026459,214,16809,None,103713,233,197531539,19592913,10081785
69,Ecuador,1024914,6735,35940,None,974018,None,14956,759,56583,1984,3082403,170173,18113361
70,Panama,1015970,6718,8543,10,998085,6992,9342,16,228464,1921,7328159,1647902,4446964
71,Mongolia,1006851,12772,2179,None,989645,None,15027,192,298054,645,4030048,1193000,3378078
72,Nepal,1000939,7,12019,None,988895,12,25,None,33116,398,5983149,197950,30225582
73,Uruguay,998047,2645,7548,7,988310,1939,2189,18,285481,2159,6114822,1749083,3496016
74,Belarus,994037,None,7118,None,985592,None,1327,None,105381,755,13646641,1446722,9432800
75,Latvia,968527,75,6108,None,950319,None,12100,3,523857,3304,7749150,4191365,1848837
76,Saudi Arabia,826259,68,9486,2,813699,80,3074,36,23051,265,44866586,1251686,35844909
77,Azerbaijan,824879,9,9987,1,814524,13,368,None,80084,970,7395267,717973,10300205
78,Paraguay,778895,None,19646,None,None,None,None,7,106613,2689,2657506,363751,7305843
79,Bahrain,697461,74,1536,None,695233,123,692,2,390957,861,10600590,5942091,1783983
80,Sri Lanka,671761,5,16808,None,654910,3,43,None,31135,779,6486117,300619,21575842
81,Kuwait,662747,None,2570,None,660095,None,82,None,151301,587,8447300,1928464,4380326
82,Dominican Republic,650990,None,4384,None,644785,None,1821,4,58879,397,3740928,338350,11056370
83,Myanmar,633462,5,19488,None,607983,10,5991,None,11470,353,9732571,176228,55227143
84,Cyprus,622101,None,1242,None,608781,None,12078,60,508507,1015,9640118,7879860,1223387
85,Palestine,620816,None,5404,None,614962,None,450,17,116137,1011,3078533,575907,5345541
86,Estonia,609769,None,2799,None,524990,None,81980,5,461279,2117,3613378,2733452,1321910
